score,text,klasifikasi
-1, pesan mak covid muncul wfh landa mudah segi laptop wifi as long as kerja gaji jalan,Negatif
-3, semejak wfh begadang insomnia tidur jam jerawat parah umur umur jerawat gin parah tips tidur cepat ,Negatif
-2,lihat rekanrekan sobat wfh timeline story wa ngeluh lebar besok lusa suruh absen libur jiwa iri dengki,Negatif
-2, semester wfh praktikum ilmu ukur tanah ya,Negatif
0,pokok seru grup gugus ramee ketemu wfh kakak cofasnya ,Netral
0,wfh teman,Netral
0, kemarin cek schedule wfh hmm,Netral
0, masuk normal wfh ,Netral
-1,berita asn gawai bumn besok masuk schedule gawai kementrian bumn wfh,Negatif
0,hasil wfh ,Netral
0,teman wfh rumble racing kak,Netral
0,wfh mahir belanja online ih gawat,Netral
1,efek wfh laku positif,Positif
-5, orang kerja bidang sehat kadang capek wfh kerja pakai masker sarung tang edukasi biar rumah lihat orang orang bandel bikin sedih semangatin ,Negatif
-1,pinggang nyusut cm kurleb ngurangin makan wfh makan ngemil sehat pokok sayang nimbang timbang rumah mama rusak wkwkkkw,Negatif
-1, ya kerja seringmya siang malam covid pagi musti dibangunin nganter kerja wfh tidur atur deh,Negatif
0,usaha topeng monyet wfh ,Netral
-1,viral media asing sorot ribu hamil indonesia wfh,Negatif
0,sesal mei reaktif khusus gerak mahasiswa maaf terpa wfh jadwal tumpuk,Netral
0, masuk wfh,Netral
3,selamat isa almasih mei kirai damai kasih hidup ,Positif
0,mah wfh mundurin nduk tiket bhaiq,Netral
0,gabut kakak efek wfh tingkat kengangguran tingkat tajam ente tumbenn beteweh,Netral
0,wfh endless work batal libur diumumin langsung invitation sajaom meeting tubi ah pret ,Netral
-1,buka grup kantor besok masuk ya libur bodo wfh ,Negatif
0,maaf mbak salah fokus hamil wfh ,Netral
-3,ya orang kerja wfh pp kerja rumah tetiba masii manusia degil ngumpul keliar emol yaolooo,Negatif
3,lhah gene wfh alhamdulillah tertib nek tertib arep demo serikat kerja po wkwkw,Positif
0,entar wfh lak isa bayar thr alhamdulilah kemarin wes beres ,Netral
-1,bosan wfh wfc work form car jaga jarak aman,Negatif
0, wfh ku tau karakter tetangga kiri kanan karakter buka gegara butter rum butter,Netral
0,perghh baekk joe extend wfh,Netral
-2, wfh kerja rutin ku tangis stres tangis tidur tangis muntah repeat,Negatif
0,edar walikota wfh kecuali ayan huahahahh,Netral
-1,kerja ribet ho ku pusat jakarta wfh susah dana cair transaksi konsumen sulit fucked up kondisi kerja teman admin ngeluh pengin resign tau kerja,Negatif
-3, pandang tua muda keduduk anggap efisien usaha langsung phk sadly marahmarah wfh meanwhile capek berangkat kantor pulang bawa cemas takut bawa virus rumah,Negatif
0,enaknyaaaa wfh lo,Netral
-1,minggu gaji kena potong wfh ya kirakira,Negatif
-1, dhar wfh ya wfh bos mas adam wkwkwkwk,Negatif
-2, papar covid bandel kerja wfh desak mati hidup egois suka kepala batu,Negatif
-3, prajurit batak tombak pedang buah konstruksi kayu ekor anjing baring girder sebelah kiri source tropenmuseum fotograph christen schjellerup feilberg foto follow ig pewarnafotojadul,Negatif
-1,potret antropologis kelompok orang papua deskripsi foto ambil ekspedisi wichmann nugini utara source nationaal museum v wereldculturen fotograph gijsbert v der sande follow ig pewarnafotojadul,Negatif
0,hasil wfh ,Netral
0,bahut kaam padta hai yaar mere office waale kahin meri productivity dekhkar permanently wfh dek dek mujhe,Netral
-3, pandemi jarang baca wfh rajin baca chatt rajin balas chatt ehehe,Negatif
0, wfh sekal trentren gulir ,Netral
1, libur wfh rencana tidur siang wkwkwkwk syukur ,Positif
0,garagara situasi corona wfh,Netral
0, suruh wfh ,Netral
1,wfh bikin kulit putih lamalama zombie,Positif
-1,man rumah mah wfh ,Negatif
-1, tulis rumah wfh gimane ye samasama telkomsel,Negatif
0, wfh anjjj,Netral
2, minggu terima kasih rtk terima kasih wfh full tonton golchabtw beli album merekaaaaaa huhuhuhuhuhu,Positif
0, takpe kena wfh camtu tweet kot nk nak tolong mak masak nak berak hahahhahahahah,Netral
-3,diaorg wfh rumah teruk jam kena reply email orang get ready bos cari smpi malam,Negatif
-5, corona masuk wfh masuk bersin pakai masker ya ya santai eh orang kantor bilang lepas bersin sayanv masker virus ngumpul ,Negatif
1, sholat ashar rumah wfh suasana biar dramatis butuh cahaya lihat seri gambar biar dramatis cahaya mesti sinar matahari pilih konsep style ,Positif
-1,sangkingkan wfh iklan ig muncul baju tidur,Negatif
0,lipi persen kerja a produktif wfh,Netral
-1, cuti asa wfh telponin mantengin laptop beda bobo siang sa,Negatif
-1,gila detail btw wfh orangorang kreatif muncul,Negatif
-2, wfh pikir bawa bekel kerja rumah makan jaga hemat malas,Negatif
-1, berat wfh suruh ngantor bersih jamin kantor omong kerja kerja target target proyek proyek let me my job peace and you yours,Negatif
-2, obrol alang kadrul bebas omong orang hayu omong kait kerja bersemedi wfh kosan,Negatif
-1,selang seling mih wfh ngantor lu wfh mih,Negatif
-2,hahahaha faham adik kena sorok sorok ternampak bodoh je hahahaha wfh sok bawa air gelas kat meja makan ,Negatif
0, wfh kayak sisa nder kemane pandemi jual ,Netral
0,efek wfh ngegym ,Netral
0,good news besok wfh,Netral
-1, wfh ane tidur jam kayak orang jetlag wkwwkkwkwkkk,Negatif
0,lho wfh suasana semangat libur,Netral
0,wfh tinggal minggu resep kucoba,Netral
-2, wfh larik online beli shampo ditemuin indoapril pilih online baju lebaran rejeki beli baju beli via online,Negatif
0,hmm tanggal deh masuk wfh,Netral
1,update info besok masuk untung wfh,Positif
1,bikin alibi wfh wae ca ,Positif
-3,tidaa kali lebaran dikosan tbh sesal pulang wfh maret ya orang kampung halaman i' ok,Negatif
-2,temenku ngalamin wfh kabur rumah mas ,Negatif
-3, nyeduh kopi senang gua garagara wfh gua benarbenar ngopi sial ,Negatif
-1,tanggal masuk gaksih kak asli kak ku kerja normal kantor kaya tangis deh entar tinggal rumah dukung wfh garis keras nemu vaksin,Negatif
-3,lihat teman makeup challange niruin foto lathi challange mikir ya ampun wfh single kreatif ya wa hobi goler wfh sekal masuk kerja kudu semaput,Negatif
0,wfh kian tonton sinetron religi taubat hafal lagu opick,Netral
-1,intern maybe wfh habis intern sebabtu ha nk rumah bazir bayar ,Negatif
0,haah wfh tula qis better ,Netral
0,hahahahaha raya wfh mesti cuti ,Netral
1, ajar kaligrafi digital sebnrnya salam fokus portrait alam karakter logo dll intens utama wfh inspirasi postingancuitan influencer islam ,Positif
0,wfh bodohhhh,Netral
-2, gdrive sisa bcs wfh share gdrivenya subs cari subscene ya,Negatif
0, wfh anggur diomongin ,Netral
-1,hahahaha iya enak rendang doi kirim ya kantor jam wfh wfo duh enduls,Negatif
-3,hooo wfh kali kondisi atur customer carenya shiftingtapi diresponse ya salah customer carenya iya kian masuk balas emaildmwa customer ,Negatif
0, masuk selasatapi masuk bilik jerwfh kanhahaha,Netral
0, wfh gaji thr lockdown cnbc indonesia,Netral
-1, produktif wfh kak kristiii too ya,Negatif
-1, benci wfh wfh kemarin kemarin video,Negatif
0, wfh panaspanasan ,Netral
0,wfh kerja wfh kerja shift jam malam pagi mantap ,Netral
0, besok wfh,Netral
0, bangun rubah wfh jam ngantor libur aga siang berisik,Netral
0,heh kau bumil wfh,Netral
-1, wfh ya bang,Negatif
-2,pengin cookie tibatiba wfh habis jajan alas biar stres rumah,Negatif
2, bikin diet pakai baju kantor zoom meeting sesak huhuhu baju dikit sesak gimanaaaaa sungguh wfh bikin stres makan ,Positif
0, urang mah wfh besok libur urang masuk,Netral
-2,huhu sumpah wfh pressure temanteman orang rumah sebal,Negatif
-3,orang orang mall asuuuuuuuuuuuuuuuuu beli baju lebaran bakalll pamerinnnnnnn keeeee instagrammm iya hahhhhhhhhhhhhh wfh ros anjingggggggggggg,Negatif
0,huyoo vote nak wfh end of year,Netral
0,waduuuuhhhh ternyataaaaaa efek wfh doyan tonton drakor,Netral
-2, bahaya wfh pesan go food harap hemat parah kantor sontoloyo ,Negatif
-1, wfh tanggal hitam merah pandemi,Negatif
1,hahahahah makasiyyy bey ku luncur habis lebaran habis lebaran wfh lagy sayang,Positif
0, gaji wfh kerja,Netral
-2, tau paket kemarin habis minggu efek wfh kayak main hp gantung ,Negatif
0, kayak usaha wfh n psbb bablas ,Netral
-1, tajuk rencana kompas senin kdrt indonesia laku wfh pandemi covid paksa keluarga unit negara menyesuaikan ,Negatif
0, lemah iman,Netral
0, akibat wfh ,Netral
0,kocheng kerja suruh wfh lep,Netral
-1,wkwkwkwwkwkwkwk kantor ayo pemerintah wfh also kantor cuti kayak normal ya ikutikut pns,Negatif
-1, wfh jual sari roti nyata siang jual singkong tape orang ,Negatif
0,hah wfh juni bye,Netral
0, wfh kerja zoom meeting mending pakai item biar cakep teruuus,Netral
0,biar tidur wfh coba deh sahur makan ,Netral
0, wfh habis komen kemarin ,Netral
-1, hebat arti wfh mlebu kantor koyok biasane wajid gae masker cuci tang perkariawan diikei termoter demam mlebu minggu sekal enek semprot jaga jarak ketat nemen pengin ndang entek koronane cek iso mlaku neng kota manek,Negatif
-1, tau alergi muncul wfh sebelumsebelumnya walao cuci piring pakai sarung tang pakai mending coba hehe,Negatif
-2, kemarin luka n tau alergi sabun cuci piringair aneh muncul wfh disaranin pakai salep dipakein tipis tebel keras mending pakai handcream ,Negatif
-1,duh enak wfh ya bgst,Negatif
2, weh lemau sungguh puasa nasib wfh je lembikk,Positif
-1,pretend wfh work from mall ya sin jahahahah dudu bi dek embo ben awak pikir dek ng omah ng mall tenan asin i part time,Negatif
0,usaha terap wfh ,Netral
1, sabar tunggu lagu puter wfh,Positif
-1, rejeki bentuk prank corporate nyata besok jadwal wfh alhamdulillah ya allah,Negatif
-1,halo butuh responden karyawan alami wfh jakarta skripsi kenan cek linknya bio ya terimakasih,Negatif
-1,halo temanteman butuh responden karyawan alami wfh jakarta skripsi kenan cek linknya bio ya terimakasih,Negatif
-1,halo temanteman butuh responden karyawan alami wfh jakarta skripsi mohon bantu ya temanteman terimakasih link,Negatif
-2, wfh maaf ya temanteman seringkali bosan bombardir chat grup kantor bikin mood hilang balas in wa mohon dimengerti ya,Negatif
0, tiru wfh kerja belanja online ,Netral
0, wfh keitung habis ,Netral
-1,bestnya wfh jeee takyah hadap traffic pakai baju tidur jeee,Negatif
